0,1,2,3,4,5,6,7,8,9,10,11,12,13
25.0,297093.0,0.335,0.881,0.0,-6.48,1.0,0.0934,0.00805,0.0,0.11,0.173,96.9,4.0
26.0,217293.0,0.303,0.506,9.0,-6.89,1.0,0.0325,0.496,0.0,0.178,0.412,161.463,3.0
26.0,186461.0,0.648,0.389,4.0,-8.275,1.0,0.0927,0.807,9.78e-05,0.11,0.378,86.36,4.0
29.0,180920.0,0.621,0.294,9.0,-13.468,1.0,0.11,0.558,2.54e-05,0.0946,0.728,78.599,4.0
26.0,196226.0,0.633,0.832,0.0,-6.84,1.0,0.0863,0.0274,7.57e-06,0.0957,0.838,130.912,4.0
26.0,144009.0,0.446,0.621,10.0,-5.065,1.0,0.037,0.721,0.0,0.0881,0.867,113.896,4.0
26.0,140560.0,0.555,0.508,0.0,-12.851,1.0,0.108,0.361,0.000968,0.12,0.961,122.037,4.0
26.0,340266.0,0.608,0.61,11.0,-13.99,0.0,0.0702,0.0278,0.335,0.0369,0.669,121.275,4.0
25.0,215586.0,0.609,0.693,9.0,-6.395,1.0,0.0273,0.000315,0.0,0.3,0.452,119.992,4.0
25.0,261000.0,0.479,0.285,1.0,-12.619,0.0,0.0327,0.942,0.0437,0.111,0.618,104.933,4.0
25.0,240866.0,0.524,0.578,7.0,-5.974,1.0,0.0267,0.000971,6.55e-06,0.326,0.29,75.032,4.0
26.0,153342.0,0.301,0.552,7.0,-7.19,0.0,0.0495,0.161,0.0,0.143,0.761,166.406,4.0
26.0,191552.0,0.448,0.821,7.0,-6.405,1.0,0.0328,0.566,0.0,0.339,0.618,104.687,4.0
25.0,226320.0,0.391,0.322,2.0,-10.845,1.0,0.0322,0.88,0.0,0.118,0.278,180.048,4.0
25.0,244821.0,0.662,0.268,10.0,-7.394,1.0,0.0358,0.858,0.0,0.11,0.394,111.594,4.0
26.0,220213.0,0.633,0.647,4.0,-6.348,0.0,0.0318,0.133,0.00021,0.0858,0.775,150.805,4.0
25.0,167999.0,0.566,0.835,7.0,-7.985,1.0,0.0377,0.0167,0.0326,0.172,0.549,95.009,4.0
25.0,257054.0,0.419,0.855,0.0,-4.782,1.0,0.0327,7.69e-05,0.0,0.272,0.261,154.098,4.0
26.0,216584.0,0.483,0.219,0.0,-13.27,1.0,0.0482,0.972,0.0,0.116,0.641,149.581,4.0
25.0,305866.0,0.568,0.24,7.0,-13.851,1.0,0.0292,0.902,0.099,0.111,0.508,94.933,4.0
47.0,236840.0,0.369,0.319,2.0,-12.088,1.0,0.0288,0.752,0.000837,0.154,0.476,160.359,4.0
25.0,344514.0,0.704,0.488,10.0,-7.89,0.0,0.039,0.56,1.57e-05,0.0811,0.745,179.76,3.0
38.0,273026.0,0.488,0.294,6.0,-14.717,0.0,0.0261,0.917,0.841,0.0876,0.26,76.647,3.0
26.0,235000.0,0.644,0.723,1.0,-4.954,1.0,0.0288,0.16,0.0,0.13,0.625,105.969,4.0
26.0,260893.0,0.762,0.805,2.0,-4.696,0.0,0.0358,0.283,0.0,0.106,0.963,116.141,4.0
25.0,372600.0,0.542,0.0325,11.0,-18.346,1.0,0.0452,0.964,0.000855,0.105,0.288,131.935,4.0
51.0,136470.0,0.392,0.253,8.0,-6.563,0.0,0.0354,0.746,0.0,0.321,0.368,203.571,4.0
52.0,213900.0,0.649,0.336,7.0,-6.823,1.0,0.0322,0.782,0.0,0.0942,0.337,95.988,4.0
27.0,238866.0,0.345,0.919,2.0,-8.154,1.0,0.0751,0.189,0.0,0.17,0.407,174.147,4.0
50.0,221786.0,0.213,0.185,4.0,-10.929,0.0,0.0327,0.757,8.54e-05,0.111,0.182,72.844,5.0
37.0,191506.0,0.491,0.185,11.0,-18.994,1.0,0.0452,0.947,0.929,0.195,0.674,90.465,4.0
54.0,186109.0,0.655,0.686,7.0,-5.701,1.0,0.028,0.371,1.13e-06,0.113,0.544,112.974,4.0
27.0,263266.0,0.615,0.545,7.0,-12.572,1.0,0.0268,0.383,2.9e-06,0.16,0.47,110.335,3.0
45.0,206653.0,0.543,0.638,7.0,-6.875,1.0,0.0258,0.103,0.000232,0.132,0.481,102.719,4.0
26.0,273480.0,0.333,0.266,8.0,-6.42,1.0,0.0318,0.951,3.32e-05,0.108,0.33,129.249,4.0
48.0,233306.0,0.617,0.319,2.0,-8.445,1.0,0.029,0.609,0.0,0.122,0.324,133.821,4.0
26.0,326706.0,0.474,0.727,2.0,-5.892,1.0,0.0329,0.123,2.82e-06,0.244,0.83,79.633,4.0
55.0,166943.0,0.641,0.147,11.0,-14.812,1.0,0.0337,0.954,1.91e-06,0.111,0.287,111.913,4.0
45.0,247704.0,0.655,0.502,8.0,-7.962,1.0,0.0349,0.579,0.0,0.117,0.368,123.931,4.0
46.0,202348.0,0.531,0.5,7.0,-8.593,1.0,0.0282,0.534,0.000861,0.101,0.319,78.076,4.0
